Store,Items,Amount,Category
BP,fuel transit taxi #5282,21.64,Transportation
Best Buy,purchase clothes,99.36,Shopping
Verizon,payment utility,884.7,Bills & Utilities
Miscellaneous,payment #3507,624.85,Others
Electric Company,service,534.31,Bills & Utilities
CVS,medicine medical prescription,207.26,Healthcare
Nike,accessories purchase,112.11,Shopping
Water Service,utility,24.19,Bills & Utilities
Best Buy,accessories electronics clothes #9930,65.67,Shopping
Steam,music game streaming #6786,46.7,Entertainment
Lyft,ride,37.03,Transportation
Unknown Vendor,service #2998,925.66,Others
Miscellaneous,misc service general,169.75,Others
Unknown Vendor,payment misc general,222.06,Others
Lyft,transit transportation fuel,37.7,Transportation
Verizon,payment,301.96,Bills & Utilities
Safeway,food,23.65,Groceries
Trader Joes,meat bread food #6491,153.99,Groceries
Nike,clothes purchase accessories #1933,285.09,Shopping
Safeway,meat groceries #6955,98.43,Groceries
Local Restaurant,meal dinner delivery,381.19,Food & Dining
CVS,doctor,272.57,Healthcare
Local Restaurant,restaurant lunch #7191,711.67,Food & Dining
Local Clinic,health prescription medicine,346.54,Healthcare
Best Buy,accessories electronics,127.05,Shopping
Unknown Vendor,service payment general,687.69,Others
CVS,medical health,404.89,Healthcare
BP,fuel,52.66,Transportation
H&M,accessories,114.75,Shopping
Pizza Hut,lunch takeout,806.79,Food & Dining
Local Clinic,health,387.16,Healthcare
Water Service,utility #1062,697.79,Bills & Utilities
Target,accessories clothes,38.79,Shopping
Safeway,bread #1781,85.35,Groceries
Water Service,utility,436.69,Bills & Utilities
Amazon,shoes,163.7,Shopping
Various Services,payment general other,235.14,Others
Walmart,dairy bread,79.71,Groceries
Quest Diagnostics,doctor #4236,250.91,Healthcare
Steam,entertainment movie music,45.49,Entertainment
Subway,dinner lunch,121.4,Food & Dining
AT&T,payment service monthly,835.66,Bills & Utilities
BP,gas,70.9,Transportation
Unknown Vendor,misc service,176.15,Others
Electric Company,service #2536,586.8,Bills & Utilities
Lyft,taxi transportation #2995,5.93,Transportation
Unknown Vendor,payment other general,511.26,Others
Electric Company,utility,730.88,Bills & Utilities
Unknown Vendor,other,330.44,Others
Verizon,service payment bill,340.73,Bills & Utilities
Spotify,entertainment streaming,33.34,Entertainment
Whole Foods,dairy groceries,41.02,Groceries
Uber,transit taxi,70.8,Transportation
Amazon,shoes,250.73,Shopping
Best Buy,accessories #6568,258.59,Shopping
Various Services,general other,127.01,Others
Water Service,utility,180.02,Bills & Utilities
Netflix,movie entertainment,13.36,Entertainment
Netflix,streaming movie #8427,49.37,Entertainment
Trader Joes,food #6765,119.61,Groceries
Trader Joes,dairy groceries food,155.08,Groceries
Walmart,groceries bread,96.85,Groceries
Whole Foods,bread dairy,37.77,Groceries
Uber,ride transit,23.3,Transportation
Best Buy,electronics accessories purchase #6916,39.58,Shopping
Shell,taxi,46.2,Transportation
AMC Theaters,movie,27.05,Entertainment
Xbox,music,36.01,Entertainment
Quest Diagnostics,medicine prescription #6191,484.53,Healthcare
BP,ride fuel transit,5.14,Transportation
Nike,purchase #2262,181.03,Shopping
Metro,transit #5323,11.41,Transportation
Miscellaneous,payment service other,50.33,Others
Miscellaneous,payment general #5186,202.19,Others
Electric Company,bill #3750,178.43,Bills & Utilities
Pizza Hut,delivery #3043,729.77,Food & Dining
Electric Company,bill,130.95,Bills & Utilities
CVS,health prescription medicine #2542,204.5,Healthcare
Metro,fuel gas ride,31.14,Transportation
Local Restaurant,meal lunch dinner,484.42,Food & Dining
Trader Joes,food,36.04,Groceries
Verizon,utility,451.61,Bills & Utilities
Unknown Vendor,other,37.58,Others
Water Service,payment bill monthly #7894,282.91,Bills & Utilities
Kroger,produce bread groceries #4809,82.58,Groceries
Netflix,music movie entertainment,23.14,Entertainment
Best Buy,purchase shoes clothes #2158,80.9,Shopping
Water Service,service payment utility,383.07,Bills & Utilities
Metro,taxi,67.71,Transportation
Walmart,produce meat bread #6783,156.08,Groceries
Amazon,accessories,37.51,Shopping
Walgreens,medical,192.66,Healthcare
Metro,taxi #4530,26.84,Transportation
CVS,doctor prescription,435.92,Healthcare
Walgreens,doctor health,326.61,Healthcare
Netflix,game streaming movie,31.87,Entertainment
Electric Company,service bill utility,666.0,Bills & Utilities
Lyft,taxi,33.26,Transportation
Chipotle,dinner meal,710.66,Food & Dining
Verizon,utility monthly #1305,151.05,Bills & Utilities
Subway,takeout meal #7317,122.52,Food & Dining
Miscellaneous,other general #9642,103.39,Others
CVS,prescription medicine doctor,248.09,Healthcare
Steam,game,39.3,Entertainment
Netflix,entertainment,26.16,Entertainment
Miscellaneous,service misc,867.27,Others
AT&T,service payment utility,201.85,Bills & Utilities
Trader Joes,food #5025,196.11,Groceries
Lyft,fuel,26.45,Transportation
Water Service,utility monthly bill,512.89,Bills & Utilities
Electric Company,service payment monthly,576.23,Bills & Utilities
Water Service,bill payment service,326.06,Bills & Utilities
Target,clothes purchase electronics,88.23,Shopping
Lyft,transportation ride #8277,44.13,Transportation
Chipotle,delivery dinner lunch,756.48,Food & Dining
Quest Diagnostics,prescription doctor health #9232,213.42,Healthcare
Steam,entertainment movie streaming,31.01,Entertainment
Electric Company,payment service,620.25,Bills & Utilities
Lyft,gas transportation,76.36,Transportation
Walmart,meat,141.64,Groceries
Subway,dinner meal restaurant,426.31,Food & Dining
Best Buy,clothes accessories,19.26,Shopping
Trader Joes,produce #8265,176.88,Groceries
Walmart,bread,115.47,Groceries
Amazon,electronics clothes accessories #9742,243.44,Shopping
Walgreens,doctor prescription,212.94,Healthcare
Water Service,payment service,891.82,Bills & Utilities
Local Clinic,medicine doctor medical,403.89,Healthcare
Metro,ride transportation gas #1849,45.78,Transportation
Chipotle,lunch meal delivery,226.31,Food & Dining
Netflix,streaming #6595,10.31,Entertainment
Local Clinic,doctor health medical,488.04,Healthcare
Unknown Vendor,service misc general #6198,994.47,Others
Xbox,streaming entertainment,20.14,Entertainment
Verizon,payment #1518,534.53,Bills & Utilities
Shell,gas fuel,23.33,Transportation
Walgreens,medicine health doctor,336.85,Healthcare
Steam,movie game #2819,26.21,Entertainment
Quest Diagnostics,health medicine,159.1,Healthcare
Unknown Vendor,payment general other,378.26,Others
Walgreens,medical medicine health,221.87,Healthcare
Various Services,service misc,889.49,Others
Quest Diagnostics,medical medicine doctor,465.31,Healthcare
Uber,transit #9375,6.84,Transportation
Safeway,bread,105.01,Groceries
Spotify,streaming music movie,31.26,Entertainment
Whole Foods,meat #3649,48.21,Groceries
Subway,takeout #4912,267.22,Food & Dining
Lyft,taxi,79.93,Transportation
AMC Theaters,game,24.91,Entertainment
Walgreens,medical doctor #7745,72.08,Healthcare
Local Clinic,health #6079,21.77,Healthcare
H&M,clothes electronics purchase,102.56,Shopping
Xbox,game movie #3787,32.71,Entertainment
Target,shoes,22.42,Shopping
Nike,electronics,50.67,Shopping
Target,electronics accessories #7584,240.95,Shopping
BP,gas,45.62,Transportation
Netflix,movie music,28.11,Entertainment
CVS,doctor medicine health #1235,161.96,Healthcare
Whole Foods,dairy,20.0,Groceries
Miscellaneous,service payment,48.86,Others
Shell,transit transportation,24.33,Transportation
Best Buy,clothes shoes,267.1,Shopping
Various Services,general service,577.23,Others
Quest Diagnostics,health medical #3673,109.76,Healthcare
Various Services,general #4218,347.38,Others
Various Services,payment misc #1967,165.97,Others
Miscellaneous,misc payment service,872.33,Others
Target,purchase #1312,154.74,Shopping
Xbox,movie,35.9,Entertainment
Kroger,bread meat,45.43,Groceries
Subway,delivery takeout restaurant,541.79,Food & Dining
AMC Theaters,music streaming game,37.49,Entertainment
Lyft,fuel ride transportation,27.91,Transportation
BP,taxi ride #3196,64.85,Transportation
Miscellaneous,other general #9398,431.79,Others
Chipotle,meal,842.09,Food & Dining
Miscellaneous,misc #5024,648.78,Others
Verizon,utility bill #8920,133.48,Bills & Utilities
Best Buy,clothes electronics,247.5,Shopping
AT&T,monthly payment utility,527.22,Bills & Utilities
Quest Diagnostics,doctor health prescription #5306,454.05,Healthcare
AMC Theaters,movie game,20.93,Entertainment
Netflix,music,39.28,Entertainment
Trader Joes,produce bread,82.62,Groceries
Metro,ride gas #8377,37.89,Transportation
Kroger,bread,151.59,Groceries
Lyft,transit gas transportation #6667,51.22,Transportation
Miscellaneous,other payment #6408,94.21,Others
Local Restaurant,lunch takeout #6326,852.3,Food & Dining
Electric Company,service,543.94,Bills & Utilities
Quest Diagnostics,health prescription #9922,30.83,Healthcare
Xbox,music,13.06,Entertainment
Netflix,game movie #8726,18.97,Entertainment
Metro,ride,22.25,Transportation
Netflix,entertainment,42.3,Entertainment
Verizon,utility,54.51,Bills & Utilities
Various Services,misc,831.65,Others
Local Clinic,health,361.58,Healthcare
Miscellaneous,other misc,312.41,Others
Quest Diagnostics,medicine prescription,137.91,Healthcare
H&M,purchase,119.91,Shopping
Local Clinic,health #5804,126.19,Healthcare
H&M,shoes electronics clothes,267.37,Shopping
Nike,purchase shoes,71.55,Shopping
Nike,clothes,72.03,Shopping
Xbox,streaming entertainment music #7046,25.33,Entertainment
Pizza Hut,restaurant delivery takeout #2331,213.7,Food & Dining
Quest Diagnostics,health #2007,485.34,Healthcare
Electric Company,service bill,228.3,Bills & Utilities
Verizon,monthly,491.08,Bills & Utilities
Kroger,bread meat #4526,105.0,Groceries
H&M,clothes electronics #9277,34.98,Shopping
Best Buy,accessories electronics,115.98,Shopping
Metro,transportation gas ride #2041,18.22,Transportation
Kroger,produce groceries food,95.7,Groceries
CVS,medicine #5762,30.77,Healthcare
Water Service,monthly #5963,399.33,Bills & Utilities
Miscellaneous,misc payment service,346.64,Others
Miscellaneous,other misc payment,375.95,Others
Chipotle,meal lunch restaurant,596.17,Food & Dining
Metro,taxi,46.67,Transportation
Trader Joes,dairy bread food #6033,83.44,Groceries
Miscellaneous,service,425.41,Others
AT&T,utility payment #4949,694.19,Bills & Utilities
Nike,clothes,225.0,Shopping
Verizon,monthly #5363,553.42,Bills & Utilities
Miscellaneous,general,271.33,Others
Xbox,movie entertainment,37.29,Entertainment
Electric Company,payment,315.38,Bills & Utilities
Lyft,ride taxi transportation,35.58,Transportation
Verizon,utility,620.54,Bills & Utilities
Spotify,game movie entertainment,20.38,Entertainment
Amazon,shoes,127.05,Shopping
Xbox,streaming movie,42.15,Entertainment
Whole Foods,food produce bread,196.4,Groceries
Target,purchase accessories clothes,281.21,Shopping
Electric Company,payment monthly bill,541.78,Bills & Utilities
Safeway,bread produce,22.36,Groceries
CVS,doctor medicine medical,55.23,Healthcare
Walmart,food meat bread,138.39,Groceries
Nike,clothes accessories,159.52,Shopping
Quest Diagnostics,medicine,411.64,Healthcare
Netflix,movie entertainment,42.74,Entertainment
Electric Company,payment utility bill,687.65,Bills & Utilities
Walgreens,doctor medical prescription,254.63,Healthcare
Nike,purchase #7628,272.42,Shopping
Trader Joes,food groceries #1677,148.24,Groceries
Metro,fuel transit,60.55,Transportation
Xbox,movie streaming,28.3,Entertainment
Lyft,gas transportation,76.75,Transportation
Nike,electronics accessories clothes #5818,274.23,Shopping
Miscellaneous,other general,164.07,Others
Safeway,produce meat,170.15,Groceries
Walgreens,prescription medical,441.75,Healthcare
CVS,doctor #1194,290.41,Healthcare
Best Buy,purchase shoes,197.86,Shopping
Various Services,general payment,278.12,Others
Local Clinic,medical doctor,345.59,Healthcare
Verizon,payment service bill #1238,405.35,Bills & Utilities
Verizon,payment monthly service,452.95,Bills & Utilities
Safeway,dairy groceries bread,68.54,Groceries
Various Services,general service,580.01,Others
Shell,fuel ride,79.57,Transportation
Kroger,dairy groceries produce,52.2,Groceries
Subway,delivery dinner meal,584.11,Food & Dining
Quest Diagnostics,doctor medicine,274.35,Healthcare
CVS,prescription,242.75,Healthcare
Best Buy,shoes clothes,277.6,Shopping
Subway,meal lunch restaurant,69.36,Food & Dining
Target,shoes,37.67,Shopping
Nike,purchase shoes accessories,136.16,Shopping
Amazon,electronics,23.64,Shopping
Target,shoes electronics accessories,291.69,Shopping
Walgreens,medicine doctor,311.05,Healthcare
Unknown Vendor,misc general payment,468.77,Others
Xbox,music movie game #2006,14.25,Entertainment
McDonalds,dinner delivery lunch,149.14,Food & Dining
BP,transportation,44.99,Transportation
AT&T,monthly bill,372.63,Bills & Utilities
Local Restaurant,restaurant,40.26,Food & Dining
Metro,gas transportation fuel,65.23,Transportation
Lyft,ride transportation transit #7790,47.16,Transportation
Water Service,bill service #5928,18.86,Bills & Utilities
BP,transit,43.21,Transportation
AT&T,payment utility monthly,464.83,Bills & Utilities
Miscellaneous,misc general,58.58,Others
Lyft,transportation taxi fuel #4236,29.53,Transportation
Unknown Vendor,other,771.28,Others
Netflix,music streaming entertainment,49.44,Entertainment
Uber,fuel transit taxi #2619,79.2,Transportation
Shell,transportation ride transit,50.99,Transportation
Various Services,misc general service,368.92,Others
Various Services,payment misc,697.46,Others
Quest Diagnostics,medicine health medical,467.18,Healthcare
Water Service,utility monthly,471.81,Bills & Utilities
Whole Foods,food dairy,89.26,Groceries
AT&T,service bill #9361,137.22,Bills & Utilities
Kroger,dairy,175.04,Groceries
H&M,electronics clothes,63.48,Shopping
Verizon,utility bill,77.05,Bills & Utilities
AT&T,bill #9772,954.42,Bills & Utilities
Best Buy,clothes #9160,217.81,Shopping
Verizon,service bill,44.02,Bills & Utilities
Metro,ride #9107,19.5,Transportation
Xbox,game,28.24,Entertainment
Water Service,payment,839.69,Bills & Utilities
Walgreens,health,186.39,Healthcare
Local Restaurant,delivery meal,841.35,Food & Dining
Walmart,meat produce,158.19,Groceries
Safeway,dairy groceries bread,189.37,Groceries
Amazon,purchase electronics shoes #3690,31.61,Shopping
Steam,music entertainment game,17.7,Entertainment
Spotify,movie #7624,16.69,Entertainment
Unknown Vendor,other misc,248.63,Others
Water Service,bill payment #9167,185.52,Bills & Utilities
BP,transit fuel taxi,33.65,Transportation
Unknown Vendor,other payment,98.49,Others
H&M,clothes shoes #5563,170.94,Shopping
Various Services,service other #7553,207.91,Others
Various Services,service misc,137.77,Others
Quest Diagnostics,doctor health medicine,432.21,Healthcare
Trader Joes,bread groceries #9892,157.53,Groceries
Target,shoes clothes electronics,216.12,Shopping
Steam,streaming,32.55,Entertainment
Kroger,bread,24.48,Groceries
Spotify,game #1246,14.58,Entertainment
Metro,transportation,51.34,Transportation
Unknown Vendor,service misc general,377.31,Others
Steam,game,15.55,Entertainment
Miscellaneous,misc service,18.45,Others
Local Restaurant,delivery meal,978.51,Food & Dining
Safeway,bread produce,156.58,Groceries
Unknown Vendor,other payment,107.28,Others
Safeway,meat,197.46,Groceries
CVS,doctor,41.48,Healthcare
Walmart,bread #6256,110.68,Groceries
Local Clinic,medical,294.91,Healthcare
Xbox,streaming #4378,27.93,Entertainment
Shell,transportation,37.53,Transportation
Lyft,transportation #9368,40.43,Transportation
Best Buy,clothes purchase,35.72,Shopping
Miscellaneous,general other misc,195.71,Others
Best Buy,clothes electronics #7420,215.74,Shopping
H&M,accessories,208.04,Shopping
Unknown Vendor,misc payment general #4286,143.86,Others
BP,taxi,51.9,Transportation
Netflix,entertainment,37.78,Entertainment
AMC Theaters,entertainment game music #7799,39.88,Entertainment
McDonalds,takeout dinner,733.52,Food & Dining
Spotify,streaming music,13.85,Entertainment
Walmart,bread groceries,165.22,Groceries
McDonalds,dinner,82.21,Food & Dining
Nike,shoes electronics accessories,234.06,Shopping
Shell,fuel gas transportation #1014,12.25,Transportation
Various Services,service misc payment,370.37,Others
Subway,takeout,123.87,Food & Dining
Local Restaurant,dinner,916.32,Food & Dining
Netflix,game,24.77,Entertainment
Pizza Hut,takeout meal,28.33,Food & Dining
Best Buy,electronics shoes purchase,243.35,Shopping
H&M,accessories,129.02,Shopping
Xbox,streaming game music,49.06,Entertainment
Nike,purchase #7678,242.84,Shopping
Subway,restaurant lunch,910.27,Food & Dining
Various Services,service other,547.75,Others
Best Buy,shoes purchase,47.98,Shopping
BP,transit fuel,35.52,Transportation
Kroger,meat bread #4039,68.94,Groceries
CVS,doctor medicine,163.52,Healthcare
AMC Theaters,streaming,49.5,Entertainment
H&M,accessories shoes purchase #7614,298.3,Shopping
Safeway,bread dairy groceries,41.26,Groceries
Chipotle,delivery takeout,178.92,Food & Dining
CVS,medical prescription health #6426,123.53,Healthcare
Chipotle,takeout,785.36,Food & Dining
Unknown Vendor,other,977.85,Others
Best Buy,clothes #8123,185.73,Shopping
Pizza Hut,restaurant takeout,178.8,Food & Dining
Amazon,purchase accessories #5695,130.11,Shopping
Netflix,music,46.12,Entertainment
CVS,health prescription doctor,169.08,Healthcare
Safeway,dairy groceries food,159.77,Groceries
Unknown Vendor,payment misc,585.91,Others
Miscellaneous,general other,995.47,Others
Chipotle,restaurant meal,897.98,Food & Dining
AMC Theaters,movie entertainment,22.65,Entertainment
Spotify,streaming movie,21.51,Entertainment
CVS,doctor medical health,396.05,Healthcare
AT&T,monthly bill service #2844,650.72,Bills & Utilities
Nike,clothes accessories #3558,208.13,Shopping
McDonalds,takeout meal delivery,577.45,Food & Dining
Walmart,bread,183.39,Groceries
AT&T,monthly service #2814,366.45,Bills & Utilities
AMC Theaters,game,28.19,Entertainment
Electric Company,payment monthly utility,639.61,Bills & Utilities
Unknown Vendor,payment other service,73.22,Others
Walgreens,medical doctor prescription,74.7,Healthcare
Miscellaneous,other general #7721,663.21,Others
Walmart,food produce #9349,193.46,Groceries
Chipotle,delivery takeout,854.03,Food & Dining
Nike,purchase #3246,85.04,Shopping
Spotify,entertainment movie,15.72,Entertainment
Uber,transit ride,59.89,Transportation
Miscellaneous,general service payment #4224,884.4,Others
Subway,restaurant #8175,106.08,Food & Dining
Kroger,dairy groceries produce,100.52,Groceries
Spotify,game streaming,14.76,Entertainment
Trader Joes,produce bread,100.07,Groceries
Kroger,food meat,166.61,Groceries
Metro,ride gas #3443,8.16,Transportation
Amazon,shoes clothes electronics #5634,108.2,Shopping
Target,clothes,205.98,Shopping
Unknown Vendor,misc #2369,935.0,Others
AMC Theaters,entertainment #8844,31.41,Entertainment
Miscellaneous,payment misc,346.29,Others
Safeway,produce bread dairy #4951,79.27,Groceries
Nike,accessories shoes,91.2,Shopping
Pizza Hut,delivery takeout,35.88,Food & Dining
Unknown Vendor,payment other service,693.82,Others
McDonalds,lunch meal delivery #8014,137.44,Food & Dining
Safeway,groceries bread #4088,195.84,Groceries
Local Restaurant,takeout lunch delivery #6859,832.06,Food & Dining
Verizon,utility monthly service,974.92,Bills & Utilities
Water Service,service,109.6,Bills & Utilities
Netflix,streaming,19.0,Entertainment
Verizon,payment bill,88.11,Bills & Utilities
Unknown Vendor,other #3791,666.58,Others
McDonalds,dinner takeout restaurant #6198,942.02,Food & Dining
Best Buy,electronics purchase accessories,149.19,Shopping
Pizza Hut,lunch dinner,209.21,Food & Dining
Electric Company,bill utility,865.74,Bills & Utilities
CVS,prescription doctor #4339,385.99,Healthcare
Lyft,transportation fuel ride,12.53,Transportation
Quest Diagnostics,medical doctor health,425.09,Healthcare
Verizon,bill payment utility,635.56,Bills & Utilities
CVS,doctor,495.23,Healthcare
Various Services,other #6868,253.56,Others
H&M,purchase accessories clothes #5328,17.55,Shopping
Target,purchase clothes accessories,294.8,Shopping
Amazon,clothes,236.11,Shopping
Nike,clothes accessories,282.06,Shopping
Best Buy,purchase accessories electronics,121.34,Shopping
Walgreens,doctor medicine health #8969,290.68,Healthcare
Target,shoes clothes purchase #4888,28.11,Shopping
Local Restaurant,restaurant meal #9538,372.32,Food & Dining
Uber,transit fuel ride,78.72,Transportation
Pizza Hut,restaurant,807.63,Food & Dining
CVS,medical prescription,394.01,Healthcare
Various Services,service other misc,171.71,Others
Various Services,payment,600.66,Others
Amazon,clothes #1310,86.25,Shopping
Walgreens,health prescription doctor,372.23,Healthcare
Miscellaneous,payment service,72.96,Others
Electric Company,service monthly,575.41,Bills & Utilities
Target,electronics purchase clothes #1336,64.58,Shopping
Pizza Hut,delivery restaurant meal,59.09,Food & Dining
Trader Joes,meat,145.02,Groceries
Lyft,ride gas taxi,55.97,Transportation
Local Clinic,prescription medical #6979,177.45,Healthcare
Walgreens,medicine medical health,121.14,Healthcare
Unknown Vendor,other general payment #3450,680.92,Others
Uber,gas,43.7,Transportation
Trader Joes,produce meat bread,55.28,Groceries
Metro,ride taxi fuel,32.49,Transportation
Xbox,music streaming #3340,18.16,Entertainment
Verizon,utility monthly,814.04,Bills & Utilities
Netflix,music streaming entertainment,47.35,Entertainment
Xbox,game streaming #8999,35.63,Entertainment
Local Clinic,prescription medicine #7958,64.08,Healthcare
Walgreens,doctor prescription #9545,348.74,Healthcare
Walgreens,doctor medical medicine,237.09,Healthcare
Steam,movie music game #1318,24.18,Entertainment
Subway,takeout #4484,842.19,Food & Dining
Spotify,streaming #1825,33.78,Entertainment
Local Clinic,medical doctor prescription,449.62,Healthcare
Target,accessories #9920,200.78,Shopping
Lyft,fuel gas transportation,71.58,Transportation
Pizza Hut,takeout meal,201.35,Food & Dining
Shell,ride,32.81,Transportation
Verizon,monthly,713.31,Bills & Utilities
H&M,accessories shoes,158.98,Shopping
Shell,fuel ride transportation,28.54,Transportation
Best Buy,accessories purchase shoes,112.08,Shopping
Xbox,entertainment,14.35,Entertainment
AT&T,monthly utility #3593,389.71,Bills & Utilities
Safeway,groceries,103.5,Groceries
AMC Theaters,streaming game entertainment,43.62,Entertainment
Unknown Vendor,service general,982.85,Others
Electric Company,payment monthly,63.54,Bills & Utilities
Various Services,misc other,897.9,Others
Local Restaurant,lunch,561.97,Food & Dining
AT&T,utility,623.32,Bills & Utilities
Unknown Vendor,general payment service,875.54,Others
Amazon,clothes accessories #7582,133.02,Shopping
Local Restaurant,takeout delivery,878.98,Food & Dining
BP,gas transportation,38.31,Transportation
Local Clinic,medicine doctor health #2260,102.22,Healthcare
Chipotle,meal dinner,202.01,Food & Dining
Walmart,dairy food,98.17,Groceries
Local Clinic,medicine #5821,158.54,Healthcare
Chipotle,takeout delivery,850.39,Food & Dining
Subway,meal dinner,946.45,Food & Dining
Walmart,groceries food meat #6378,96.49,Groceries
H&M,shoes accessories clothes #7511,54.19,Shopping
Best Buy,accessories shoes #3956,71.68,Shopping
Quest Diagnostics,health,480.16,Healthcare
Amazon,purchase accessories shoes,143.75,Shopping
Water Service,bill service monthly,700.94,Bills & Utilities
AMC Theaters,entertainment music,29.8,Entertainment
Target,electronics purchase clothes,39.28,Shopping
Amazon,accessories shoes,120.31,Shopping
Whole Foods,groceries dairy,159.29,Groceries
Various Services,other general #5072,533.27,Others
Verizon,payment bill,410.79,Bills & Utilities
Trader Joes,dairy groceries meat,148.32,Groceries
McDonalds,delivery meal,527.76,Food & Dining
Nike,purchase electronics clothes #8542,214.46,Shopping
Electric Company,utility #1931,946.03,Bills & Utilities
Whole Foods,bread produce,152.79,Groceries
Uber,ride taxi fuel,33.58,Transportation
CVS,medical doctor medicine,91.7,Healthcare
Subway,meal restaurant #8778,28.98,Food & Dining
Miscellaneous,service payment general,924.02,Others
Pizza Hut,meal delivery lunch,630.01,Food & Dining
Walmart,food meat groceries #1550,24.48,Groceries
Lyft,taxi fuel transit,28.48,Transportation
Nike,clothes shoes #3163,164.34,Shopping
Miscellaneous,misc payment other,199.93,Others
Xbox,streaming,41.28,Entertainment
CVS,doctor health medicine,48.64,Healthcare
Target,purchase accessories #4757,151.31,Shopping
Various Services,other,557.11,Others
Amazon,clothes shoes,220.09,Shopping
Miscellaneous,general misc payment,478.16,Others
Verizon,utility #1472,437.94,Bills & Utilities
AT&T,monthly utility,988.25,Bills & Utilities
Nike,accessories electronics shoes,245.59,Shopping
Quest Diagnostics,doctor #8614,254.16,Healthcare
Trader Joes,groceries #7942,54.41,Groceries
Steam,entertainment #6411,38.56,Entertainment
Walgreens,health doctor,228.83,Healthcare
Netflix,entertainment,26.97,Entertainment
Various Services,general service other,221.73,Others
Unknown Vendor,service other general #2580,290.25,Others
Trader Joes,produce,119.41,Groceries
Verizon,service utility bill,210.08,Bills & Utilities
Local Clinic,health,188.56,Healthcare
H&M,clothes purchase electronics #2316,39.84,Shopping
Uber,taxi,45.23,Transportation
Whole Foods,dairy meat,194.52,Groceries
Amazon,shoes purchase,132.12,Shopping
Walgreens,medical medicine #3957,105.08,Healthcare
Spotify,entertainment,11.89,Entertainment
Steam,streaming game,36.32,Entertainment
Local Restaurant,dinner lunch,68.66,Food & Dining
AMC Theaters,streaming movie entertainment,45.68,Entertainment
CVS,doctor medical,160.88,Healthcare
Unknown Vendor,payment misc #5558,247.21,Others
Best Buy,electronics clothes,226.6,Shopping
Whole Foods,dairy #6797,167.28,Groceries
AMC Theaters,game movie,33.97,Entertainment
Miscellaneous,other service payment,110.66,Others
Safeway,dairy #5202,170.92,Groceries
H&M,clothes purchase #5201,282.97,Shopping
H&M,clothes electronics,233.07,Shopping
Various Services,other payment service #1848,705.74,Others
Kroger,food meat #5588,35.19,Groceries
H&M,accessories shoes,177.33,Shopping
Amazon,accessories electronics,240.89,Shopping
McDonalds,restaurant takeout,641.79,Food & Dining
Trader Joes,food bread meat #2518,132.99,Groceries
Target,electronics shoes purchase #4503,145.04,Shopping
Pizza Hut,restaurant delivery takeout,786.39,Food & Dining
Lyft,transportation transit fuel,56.29,Transportation
AT&T,service monthly bill,749.96,Bills & Utilities
Local Clinic,doctor medical #6233,473.27,Healthcare
Kroger,dairy food groceries,116.49,Groceries
Target,shoes,94.91,Shopping
CVS,medical medicine,461.04,Healthcare
Spotify,movie music,39.03,Entertainment
McDonalds,restaurant,918.93,Food & Dining
Walmart,dairy food produce,131.19,Groceries
H&M,shoes electronics #7177,276.63,Shopping
Pizza Hut,meal takeout delivery #4471,100.05,Food & Dining
McDonalds,restaurant takeout delivery,21.28,Food & Dining
Kroger,produce groceries,117.89,Groceries
Amazon,shoes accessories electronics,129.42,Shopping
Trader Joes,groceries meat,148.97,Groceries
Water Service,payment,358.18,Bills & Utilities
Electric Company,payment service,439.16,Bills & Utilities
AT&T,monthly utility bill,834.19,Bills & Utilities
AT&T,bill payment,450.79,Bills & Utilities
Pizza Hut,lunch restaurant,499.07,Food & Dining
Water Service,monthly,115.05,Bills & Utilities
Lyft,fuel,6.67,Transportation
Kroger,groceries,102.5,Groceries
Metro,fuel #9483,27.62,Transportation
Target,electronics accessories clothes,42.46,Shopping
Spotify,game entertainment music,45.3,Entertainment
Walgreens,doctor prescription medicine,347.4,Healthcare
Safeway,food,72.24,Groceries
Amazon,clothes accessories,125.79,Shopping
AMC Theaters,music #9664,39.32,Entertainment
Various Services,general misc,371.85,Others
Unknown Vendor,service #3836,333.33,Others
BP,gas fuel,27.75,Transportation
Pizza Hut,delivery meal restaurant #7855,616.86,Food & Dining
Kroger,food produce groceries,193.05,Groceries
Shell,transit,40.31,Transportation
Water Service,utility bill monthly #8828,349.8,Bills & Utilities
Electric Company,utility,326.31,Bills & Utilities
Unknown Vendor,service,133.34,Others
Target,shoes purchase electronics,233.02,Shopping
Chipotle,lunch delivery meal,416.2,Food & Dining
BP,transportation taxi,32.68,Transportation
CVS,prescription,444.43,Healthcare
Xbox,music movie,16.46,Entertainment
AMC Theaters,streaming game,43.17,Entertainment
Electric Company,monthly bill payment,448.98,Bills & Utilities
Trader Joes,meat produce dairy,110.15,Groceries
Water Service,utility payment,441.63,Bills & Utilities
Best Buy,electronics clothes,89.84,Shopping
Local Clinic,prescription doctor,470.2,Healthcare
Subway,restaurant takeout delivery #2358,664.09,Food & Dining
Subway,lunch restaurant meal,853.39,Food & Dining
CVS,medicine #5649,288.06,Healthcare
Metro,taxi #1551,70.53,Transportation
AT&T,bill service payment #5834,921.2,Bills & Utilities
AT&T,payment bill,484.0,Bills & Utilities
Safeway,groceries #7322,85.29,Groceries
Unknown Vendor,service misc #5591,56.02,Others
Miscellaneous,payment service,206.85,Others
Chipotle,restaurant delivery meal,462.24,Food & Dining
