text,label
Pizza Hut,STORE
Date: 2025-04-03,DATE
Total: $527.25,TOTAL
lunch $527.25,ITEM
Thank you for your purchase!,O
Receipt #: 49297,O
Lyft,STORE
Date: 2025-04-03,DATE
Total: $39.21,TOTAL
gas $39.21,ITEM
Thank you for your purchase!,O
Receipt #: 77594,O
Whole Foods,STORE
Date: 2025-04-04,DATE
Total: $118.28,TOTAL
food produce $118.28,ITEM
Thank you for your purchase!,O
Receipt #: 53515,O
Miscellaneous,STORE
Date: 2025-03-23,DATE
Total: $333.36,TOTAL
general payment $333.36,ITEM
Thank you for your purchase!,O
Receipt #: 93944,O
Netflix,STORE
Date: 2025-04-16,DATE
Total: $12.60,TOTAL
entertainment $12.60,ITEM
Thank you for your purchase!,O
Receipt #: 79851,O
Shell,STORE
Date: 2025-04-03,DATE
Total: $63.60,TOTAL
gas $63.60,ITEM
Thank you for your purchase!,O
Receipt #: 91493,O
AT&T,STORE
Date: 2025-03-29,DATE
Total: $216.33,TOTAL
bill $216.33,ITEM
Thank you for your purchase!,O
Receipt #: 55460,O
Verizon,STORE
Date: 2025-04-17,DATE
Total: $445.78,TOTAL
payment bill $445.78,ITEM
Thank you for your purchase!,O
Receipt #: 59374,O
Local Clinic,STORE
Date: 2025-04-12,DATE
Total: $166.00,TOTAL
medical doctor health $166.00,ITEM
Thank you for your purchase!,O
Receipt #: 37143,O
Water Service,STORE
Date: 2025-04-08,DATE
Total: $365.82,TOTAL
bill utility #7497 $365.82,ITEM
Thank you for your purchase!,O
Receipt #: 15438,O
Miscellaneous,STORE
Date: 2025-03-26,DATE
Total: $873.45,TOTAL
other payment misc #4942 $873.45,ITEM
Thank you for your purchase!,O
Receipt #: 99188,O
Best Buy,STORE
Date: 2025-04-19,DATE
Total: $83.86,TOTAL
electronics $83.86,ITEM
Thank you for your purchase!,O
Receipt #: 22537,O
Xbox,STORE
Date: 2025-04-17,DATE
Total: $35.25,TOTAL
entertainment music #3215 $35.25,ITEM
Thank you for your purchase!,O
Receipt #: 32776,O
Target,STORE
Date: 2025-04-07,DATE
Total: $222.40,TOTAL
shoes $222.40,ITEM
Thank you for your purchase!,O
Receipt #: 13185,O
Safeway,STORE
Date: 2025-04-07,DATE
Total: $74.55,TOTAL
food produce #7388 $74.55,ITEM
Thank you for your purchase!,O
Receipt #: 84182,O
Best Buy,STORE
Date: 2025-04-15,DATE
Total: $201.96,TOTAL
electronics purchase $201.96,ITEM
Thank you for your purchase!,O
Receipt #: 52185,O
Various Services,STORE
Date: 2025-03-31,DATE
Total: $279.16,TOTAL
service other misc $279.16,ITEM
Thank you for your purchase!,O
Receipt #: 37242,O
Nike,STORE
Date: 2025-04-08,DATE
Total: $261.47,TOTAL
shoes accessories clothes $261.47,ITEM
Thank you for your purchase!,O
Receipt #: 39402,O
Walmart,STORE
Date: 2025-04-11,DATE
Total: $129.35,TOTAL
meat #7923 $129.35,ITEM
Thank you for your purchase!,O
Receipt #: 38730,O
Various Services,STORE
Date: 2025-03-25,DATE
Total: $567.64,TOTAL
service other payment #7759 $567.64,ITEM
Thank you for your purchase!,O
Receipt #: 22256,O
Unknown Vendor,STORE
Date: 2025-04-09,DATE
Total: $206.96,TOTAL
misc payment service $206.96,ITEM
Thank you for your purchase!,O
Receipt #: 36973,O
Kroger,STORE
Date: 2025-03-24,DATE
Total: $52.66,TOTAL
dairy food $52.66,ITEM
Thank you for your purchase!,O
Receipt #: 10113,O
AT&T,STORE
Date: 2025-03-29,DATE
Total: $761.50,TOTAL
monthly service bill $761.50,ITEM
Thank you for your purchase!,O
Receipt #: 61320,O
Various Services,STORE
Date: 2025-04-08,DATE
Total: $66.98,TOTAL
misc other #9464 $66.98,ITEM
Thank you for your purchase!,O
Receipt #: 87544,O
Uber,STORE
Date: 2025-04-05,DATE
Total: $53.52,TOTAL
transportation transit $53.52,ITEM
Thank you for your purchase!,O
Receipt #: 58273,O
Unknown Vendor,STORE
Date: 2025-03-31,DATE
Total: $550.58,TOTAL
general other misc $550.58,ITEM
Thank you for your purchase!,O
Receipt #: 11437,O
Steam,STORE
Date: 2025-04-15,DATE
Total: $27.15,TOTAL
entertainment $27.15,ITEM
Thank you for your purchase!,O
Receipt #: 59028,O
Electric Company,STORE
Date: 2025-04-14,DATE
Total: $14.22,TOTAL
utility #7620 $14.22,ITEM
Thank you for your purchase!,O
Receipt #: 90127,O
Xbox,STORE
Date: 2025-04-06,DATE
Total: $30.21,TOTAL
entertainment game movie $30.21,ITEM
Thank you for your purchase!,O
Receipt #: 30635,O
H&M,STORE
Date: 2025-04-02,DATE
Total: $79.20,TOTAL
purchase clothes electronics $79.20,ITEM
Thank you for your purchase!,O
Receipt #: 96792,O
Verizon,STORE
Date: 2025-04-20,DATE
Total: $64.44,TOTAL
payment service #3568 $64.44,ITEM
Thank you for your purchase!,O
Receipt #: 49584,O
Trader Joes,STORE
Date: 2025-04-03,DATE
Total: $57.50,TOTAL
meat produce food $57.50,ITEM
Thank you for your purchase!,O
Receipt #: 95798,O
Walmart,STORE
Date: 2025-04-18,DATE
Total: $60.68,TOTAL
dairy produce food #3029 $60.68,ITEM
Thank you for your purchase!,O
Receipt #: 51485,O
AMC Theaters,STORE
Date: 2025-03-30,DATE
Total: $26.60,TOTAL
music $26.60,ITEM
Thank you for your purchase!,O
Receipt #: 33412,O
Electric Company,STORE
Date: 2025-03-24,DATE
Total: $583.88,TOTAL
service $583.88,ITEM
Thank you for your purchase!,O
Receipt #: 83202,O
Xbox,STORE
Date: 2025-03-30,DATE
Total: $12.80,TOTAL
game streaming music $12.80,ITEM
Thank you for your purchase!,O
Receipt #: 12825,O
H&M,STORE
Date: 2025-04-13,DATE
Total: $117.96,TOTAL
accessories shoes $117.96,ITEM
Thank you for your purchase!,O
Receipt #: 56527,O
Miscellaneous,STORE
Date: 2025-04-06,DATE
Total: $832.88,TOTAL
general other misc #2065 $832.88,ITEM
Thank you for your purchase!,O
Receipt #: 28687,O
Nike,STORE
Date: 2025-04-17,DATE
Total: $35.70,TOTAL
shoes electronics #7486 $35.70,ITEM
Thank you for your purchase!,O
Receipt #: 91156,O
Pizza Hut,STORE
Date: 2025-03-25,DATE
Total: $930.35,TOTAL
restaurant delivery takeout #8935 $930.35,ITEM
Thank you for your purchase!,O
Receipt #: 50810,O
Netflix,STORE
Date: 2025-04-14,DATE
Total: $14.92,TOTAL
entertainment $14.92,ITEM
Thank you for your purchase!,O
Receipt #: 90688,O
Spotify,STORE
Date: 2025-04-10,DATE
Total: $23.20,TOTAL
music game movie #2653 $23.20,ITEM
Thank you for your purchase!,O
Receipt #: 74273,O
Trader Joes,STORE
Date: 2025-03-30,DATE
Total: $24.15,TOTAL
meat produce $24.15,ITEM
Thank you for your purchase!,O
Receipt #: 75840,O
Metro,STORE
Date: 2025-04-15,DATE
Total: $14.72,TOTAL
transit ride transportation #4847 $14.72,ITEM
Thank you for your purchase!,O
Receipt #: 30382,O
Whole Foods,STORE
Date: 2025-04-15,DATE
Total: $90.37,TOTAL
produce meat food $90.37,ITEM
Thank you for your purchase!,O
Receipt #: 52801,O
Amazon,STORE
Date: 2025-04-01,DATE
Total: $163.89,TOTAL
shoes $163.89,ITEM
Thank you for your purchase!,O
Receipt #: 55115,O
Miscellaneous,STORE
Date: 2025-03-23,DATE
Total: $447.43,TOTAL
payment general service #3763 $447.43,ITEM
Thank you for your purchase!,O
Receipt #: 45497,O
H&M,STORE
Date: 2025-04-13,DATE
Total: $227.05,TOTAL
accessories $227.05,ITEM
Thank you for your purchase!,O
Receipt #: 83743,O
Whole Foods,STORE
Date: 2025-04-01,DATE
Total: $41.05,TOTAL
dairy food #1711 $41.05,ITEM
Thank you for your purchase!,O
Receipt #: 71783,O
Walmart,STORE
Date: 2025-03-25,DATE
Total: $87.40,TOTAL
meat dairy $87.40,ITEM
Thank you for your purchase!,O
Receipt #: 26352,O
Various Services,STORE
Date: 2025-04-02,DATE
Total: $145.17,TOTAL
general other misc #9247 $145.17,ITEM
Thank you for your purchase!,O
Receipt #: 77358,O
Nike,STORE
Date: 2025-03-31,DATE
Total: $90.77,TOTAL
shoes clothes $90.77,ITEM
Thank you for your purchase!,O
Receipt #: 56466,O
H&M,STORE
Date: 2025-03-29,DATE
Total: $50.80,TOTAL
purchase shoes electronics #7002 $50.80,ITEM
Thank you for your purchase!,O
Receipt #: 90215,O
Electric Company,STORE
Date: 2025-04-18,DATE
Total: $705.88,TOTAL
service bill utility $705.88,ITEM
Thank you for your purchase!,O
Receipt #: 92361,O
Miscellaneous,STORE
Date: 2025-03-30,DATE
Total: $534.91,TOTAL
other general $534.91,ITEM
Thank you for your purchase!,O
Receipt #: 94145,O
McDonalds,STORE
Date: 2025-04-12,DATE
Total: $968.37,TOTAL
lunch dinner takeout #4690 $968.37,ITEM
Thank you for your purchase!,O
Receipt #: 12749,O
Netflix,STORE
Date: 2025-03-28,DATE
Total: $41.04,TOTAL
game streaming music #3773 $41.04,ITEM
Thank you for your purchase!,O
Receipt #: 54743,O
Local Restaurant,STORE
Date: 2025-03-25,DATE
Total: $286.36,TOTAL
takeout delivery $286.36,ITEM
Thank you for your purchase!,O
Receipt #: 38696,O
Uber,STORE
Date: 2025-04-03,DATE
Total: $74.74,TOTAL
fuel taxi transit #9759 $74.74,ITEM
Thank you for your purchase!,O
Receipt #: 28137,O
Various Services,STORE
Date: 2025-03-23,DATE
Total: $830.87,TOTAL
misc payment service $830.87,ITEM
Thank you for your purchase!,O
Receipt #: 64187,O
AT&T,STORE
Date: 2025-04-19,DATE
Total: $542.06,TOTAL
service #8481 $542.06,ITEM
Thank you for your purchase!,O
Receipt #: 48560,O
Spotify,STORE
Date: 2025-03-26,DATE
Total: $46.94,TOTAL
game movie #2582 $46.94,ITEM
Thank you for your purchase!,O
Receipt #: 46279,O
Spotify,STORE
Date: 2025-03-23,DATE
Total: $35.68,TOTAL
movie game $35.68,ITEM
Thank you for your purchase!,O
Receipt #: 66528,O
CVS,STORE
Date: 2025-04-09,DATE
Total: $48.05,TOTAL
doctor prescription medical #8982 $48.05,ITEM
Thank you for your purchase!,O
Receipt #: 57540,O
Spotify,STORE
Date: 2025-04-07,DATE
Total: $35.97,TOTAL
movie entertainment #8825 $35.97,ITEM
Thank you for your purchase!,O
Receipt #: 66950,O
Safeway,STORE
Date: 2025-03-27,DATE
Total: $146.40,TOTAL
meat produce #2771 $146.40,ITEM
Thank you for your purchase!,O
Receipt #: 82420,O
Water Service,STORE
Date: 2025-04-21,DATE
Total: $373.08,TOTAL
monthly $373.08,ITEM
Thank you for your purchase!,O
Receipt #: 63765,O
Metro,STORE
Date: 2025-04-03,DATE
Total: $68.98,TOTAL
transit fuel #5183 $68.98,ITEM
Thank you for your purchase!,O
Receipt #: 80963,O
Trader Joes,STORE
Date: 2025-03-25,DATE
Total: $47.17,TOTAL
produce bread meat #6762 $47.17,ITEM
Thank you for your purchase!,O
Receipt #: 34050,O
Shell,STORE
Date: 2025-04-07,DATE
Total: $24.60,TOTAL
gas transportation $24.60,ITEM
Thank you for your purchase!,O
Receipt #: 11272,O
Lyft,STORE
Date: 2025-03-29,DATE
Total: $62.12,TOTAL
gas transportation $62.12,ITEM
Thank you for your purchase!,O
Receipt #: 15178,O
Chipotle,STORE
Date: 2025-03-25,DATE
Total: $432.97,TOTAL
lunch takeout #9680 $432.97,ITEM
Thank you for your purchase!,O
Receipt #: 10328,O
AT&T,STORE
Date: 2025-03-30,DATE
Total: $247.85,TOTAL
payment bill monthly #5234 $247.85,ITEM
Thank you for your purchase!,O
Receipt #: 17710,O
Lyft,STORE
Date: 2025-04-06,DATE
Total: $36.01,TOTAL
gas ride #2380 $36.01,ITEM
Thank you for your purchase!,O
Receipt #: 37495,O
Shell,STORE
Date: 2025-04-13,DATE
Total: $41.43,TOTAL
ride fuel #8096 $41.43,ITEM
Thank you for your purchase!,O
Receipt #: 74959,O
AT&T,STORE
Date: 2025-03-31,DATE
Total: $466.61,TOTAL
service $466.61,ITEM
Thank you for your purchase!,O
Receipt #: 48780,O
AT&T,STORE
Date: 2025-04-21,DATE
Total: $364.17,TOTAL
payment service $364.17,ITEM
Thank you for your purchase!,O
Receipt #: 27409,O
Xbox,STORE
Date: 2025-04-10,DATE
Total: $25.84,TOTAL
game entertainment streaming $25.84,ITEM
Thank you for your purchase!,O
Receipt #: 52641,O
Netflix,STORE
Date: 2025-04-18,DATE
Total: $17.89,TOTAL
music $17.89,ITEM
Thank you for your purchase!,O
Receipt #: 47936,O
Best Buy,STORE
Date: 2025-03-30,DATE
Total: $70.69,TOTAL
electronics clothes purchase $70.69,ITEM
Thank you for your purchase!,O
Receipt #: 73254,O
Spotify,STORE
Date: 2025-04-19,DATE
Total: $28.75,TOTAL
game entertainment #9516 $28.75,ITEM
Thank you for your purchase!,O
Receipt #: 50489,O
Trader Joes,STORE
Date: 2025-04-16,DATE
Total: $141.37,TOTAL
bread food dairy $141.37,ITEM
Thank you for your purchase!,O
Receipt #: 83528,O
CVS,STORE
Date: 2025-04-01,DATE
Total: $208.74,TOTAL
prescription medicine $208.74,ITEM
Thank you for your purchase!,O
Receipt #: 60963,O
Nike,STORE
Date: 2025-04-02,DATE
Total: $194.40,TOTAL
purchase #3619 $194.40,ITEM
Thank you for your purchase!,O
Receipt #: 49445,O
AMC Theaters,STORE
Date: 2025-03-23,DATE
Total: $32.28,TOTAL
music streaming #9212 $32.28,ITEM
Thank you for your purchase!,O
Receipt #: 94635,O
Unknown Vendor,STORE
Date: 2025-04-06,DATE
Total: $225.94,TOTAL
other #5052 $225.94,ITEM
Thank you for your purchase!,O
Receipt #: 49951,O
Target,STORE
Date: 2025-04-17,DATE
Total: $277.82,TOTAL
clothes $277.82,ITEM
Thank you for your purchase!,O
Receipt #: 57638,O
AT&T,STORE
Date: 2025-04-07,DATE
Total: $792.68,TOTAL
utility bill service $792.68,ITEM
Thank you for your purchase!,O
Receipt #: 28288,O
Subway,STORE
Date: 2025-03-29,DATE
Total: $428.28,TOTAL
lunch restaurant delivery $428.28,ITEM
Thank you for your purchase!,O
Receipt #: 65487,O
Uber,STORE
Date: 2025-03-30,DATE
Total: $62.80,TOTAL
taxi transportation gas $62.80,ITEM
Thank you for your purchase!,O
Receipt #: 14382,O
Best Buy,STORE
Date: 2025-04-12,DATE
Total: $35.29,TOTAL
purchase shoes accessories $35.29,ITEM
Thank you for your purchase!,O
Receipt #: 96117,O
Unknown Vendor,STORE
Date: 2025-04-14,DATE
Total: $951.21,TOTAL
other #5389 $951.21,ITEM
Thank you for your purchase!,O
Receipt #: 75933,O
Xbox,STORE
Date: 2025-04-06,DATE
Total: $40.54,TOTAL
entertainment music movie $40.54,ITEM
Thank you for your purchase!,O
Receipt #: 47397,O
Kroger,STORE
Date: 2025-04-12,DATE
Total: $65.52,TOTAL
groceries #7161 $65.52,ITEM
Thank you for your purchase!,O
Receipt #: 89383,O
Local Clinic,STORE
Date: 2025-04-01,DATE
Total: $241.62,TOTAL
medicine $241.62,ITEM
Thank you for your purchase!,O
Receipt #: 12950,O
CVS,STORE
Date: 2025-04-09,DATE
Total: $476.03,TOTAL
medical #5029 $476.03,ITEM
Thank you for your purchase!,O
Receipt #: 96144,O
Whole Foods,STORE
Date: 2025-03-29,DATE
Total: $188.56,TOTAL
bread meat dairy $188.56,ITEM
Thank you for your purchase!,O
Receipt #: 63500,O
Various Services,STORE
Date: 2025-04-03,DATE
Total: $531.03,TOTAL
misc $531.03,ITEM
Thank you for your purchase!,O
Receipt #: 94868,O
Trader Joes,STORE
Date: 2025-04-12,DATE
Total: $136.12,TOTAL
produce $136.12,ITEM
Thank you for your purchase!,O
Receipt #: 69149,O
Unknown Vendor,STORE
Date: 2025-04-12,DATE
Total: $748.61,TOTAL
misc other #7303 $748.61,ITEM
Thank you for your purchase!,O
Receipt #: 32572,O
Electric Company,STORE
Date: 2025-04-13,DATE
Total: $59.49,TOTAL
bill utility payment $59.49,ITEM
Thank you for your purchase!,O
Receipt #: 69690,O
Walmart,STORE
Date: 2025-04-19,DATE
Total: $75.80,TOTAL
food produce meat $75.80,ITEM
Thank you for your purchase!,O
Receipt #: 20457,O
Xbox,STORE
Date: 2025-04-19,DATE
Total: $39.68,TOTAL
game streaming $39.68,ITEM
Thank you for your purchase!,O
Receipt #: 99648,O
Unknown Vendor,STORE
Date: 2025-04-05,DATE
Total: $847.11,TOTAL
payment service $847.11,ITEM
Thank you for your purchase!,O
Receipt #: 89203,O
CVS,STORE
Date: 2025-04-15,DATE
Total: $396.54,TOTAL
health #1611 $396.54,ITEM
Thank you for your purchase!,O
Receipt #: 30508,O
Best Buy,STORE
Date: 2025-04-03,DATE
Total: $107.49,TOTAL
purchase accessories electronics $107.49,ITEM
Thank you for your purchase!,O
Receipt #: 36102,O
Spotify,STORE
Date: 2025-04-12,DATE
Total: $45.18,TOTAL
music game movie $45.18,ITEM
Thank you for your purchase!,O
Receipt #: 77279,O
Local Restaurant,STORE
Date: 2025-04-10,DATE
Total: $270.49,TOTAL
meal delivery $270.49,ITEM
Thank you for your purchase!,O
Receipt #: 25792,O
Pizza Hut,STORE
Date: 2025-03-28,DATE
Total: $756.39,TOTAL
meal restaurant delivery $756.39,ITEM
Thank you for your purchase!,O
Receipt #: 91542,O
Whole Foods,STORE
Date: 2025-04-14,DATE
Total: $151.58,TOTAL
food #8071 $151.58,ITEM
Thank you for your purchase!,O
Receipt #: 36839,O
Subway,STORE
Date: 2025-04-02,DATE
Total: $923.14,TOTAL
lunch meal restaurant $923.14,ITEM
Thank you for your purchase!,O
Receipt #: 66532,O
Water Service,STORE
Date: 2025-04-21,DATE
Total: $870.56,TOTAL
service bill $870.56,ITEM
Thank you for your purchase!,O
Receipt #: 21004,O
Whole Foods,STORE
Date: 2025-04-16,DATE
Total: $139.99,TOTAL
bread #1006 $139.99,ITEM
Thank you for your purchase!,O
Receipt #: 79690,O
Trader Joes,STORE
Date: 2025-03-23,DATE
Total: $144.07,TOTAL
produce bread groceries $144.07,ITEM
Thank you for your purchase!,O
Receipt #: 47964,O
Safeway,STORE
Date: 2025-03-30,DATE
Total: $197.14,TOTAL
groceries $197.14,ITEM
Thank you for your purchase!,O
Receipt #: 52156,O
Subway,STORE
Date: 2025-03-31,DATE
Total: $689.78,TOTAL
meal #6947 $689.78,ITEM
Thank you for your purchase!,O
Receipt #: 18528,O
Unknown Vendor,STORE
Date: 2025-04-04,DATE
Total: $433.67,TOTAL
general service #4166 $433.67,ITEM
Thank you for your purchase!,O
Receipt #: 17627,O
Miscellaneous,STORE
Date: 2025-04-06,DATE
Total: $668.70,TOTAL
general $668.70,ITEM
Thank you for your purchase!,O
Receipt #: 86164,O
Trader Joes,STORE
Date: 2025-04-16,DATE
Total: $50.71,TOTAL
produce dairy $50.71,ITEM
Thank you for your purchase!,O
Receipt #: 54702,O
Spotify,STORE
Date: 2025-03-29,DATE
Total: $33.78,TOTAL
entertainment game streaming $33.78,ITEM
Thank you for your purchase!,O
Receipt #: 76943,O
Local Clinic,STORE
Date: 2025-03-27,DATE
Total: $163.94,TOTAL
health prescription medicine $163.94,ITEM
Thank you for your purchase!,O
Receipt #: 93300,O
AT&T,STORE
Date: 2025-03-25,DATE
Total: $122.22,TOTAL
monthly #3521 $122.22,ITEM
Thank you for your purchase!,O
Receipt #: 93367,O
Subway,STORE
Date: 2025-04-01,DATE
Total: $999.82,TOTAL
lunch takeout restaurant $999.82,ITEM
Thank you for your purchase!,O
Receipt #: 67809,O
Water Service,STORE
Date: 2025-03-24,DATE
Total: $798.52,TOTAL
utility bill payment $798.52,ITEM
Thank you for your purchase!,O
Receipt #: 29106,O
Walgreens,STORE
Date: 2025-04-03,DATE
Total: $26.77,TOTAL
medicine medical $26.77,ITEM
Thank you for your purchase!,O
Receipt #: 67664,O
Walgreens,STORE
Date: 2025-03-23,DATE
Total: $328.76,TOTAL
doctor $328.76,ITEM
Thank you for your purchase!,O
Receipt #: 16180,O
Various Services,STORE
Date: 2025-04-17,DATE
Total: $749.24,TOTAL
general payment service $749.24,ITEM
Thank you for your purchase!,O
Receipt #: 48183,O
Walgreens,STORE
Date: 2025-04-12,DATE
Total: $186.88,TOTAL
medical $186.88,ITEM
Thank you for your purchase!,O
Receipt #: 57036,O
Safeway,STORE
Date: 2025-04-11,DATE
Total: $173.26,TOTAL
produce food meat $173.26,ITEM
Thank you for your purchase!,O
Receipt #: 63934,O
Unknown Vendor,STORE
Date: 2025-03-24,DATE
Total: $91.30,TOTAL
other #5006 $91.30,ITEM
Thank you for your purchase!,O
Receipt #: 16219,O
McDonalds,STORE
Date: 2025-04-02,DATE
Total: $662.81,TOTAL
meal $662.81,ITEM
Thank you for your purchase!,O
Receipt #: 67760,O
McDonalds,STORE
Date: 2025-03-31,DATE
Total: $505.66,TOTAL
lunch $505.66,ITEM
Thank you for your purchase!,O
Receipt #: 50900,O
Best Buy,STORE
Date: 2025-04-06,DATE
Total: $101.85,TOTAL
clothes accessories #4885 $101.85,ITEM
Thank you for your purchase!,O
Receipt #: 11076,O
Target,STORE
Date: 2025-04-17,DATE
Total: $268.98,TOTAL
clothes purchase $268.98,ITEM
Thank you for your purchase!,O
Receipt #: 71193,O
CVS,STORE
Date: 2025-04-10,DATE
Total: $358.95,TOTAL
medical medicine $358.95,ITEM
Thank you for your purchase!,O
Receipt #: 43731,O
Whole Foods,STORE
Date: 2025-04-09,DATE
Total: $112.00,TOTAL
food meat #3704 $112.00,ITEM
Thank you for your purchase!,O
Receipt #: 16502,O
Nike,STORE
Date: 2025-03-30,DATE
Total: $256.01,TOTAL
clothes $256.01,ITEM
Thank you for your purchase!,O
Receipt #: 57617,O
Shell,STORE
Date: 2025-04-12,DATE
Total: $39.67,TOTAL
ride taxi #3329 $39.67,ITEM
Thank you for your purchase!,O
Receipt #: 28326,O
Verizon,STORE
Date: 2025-04-12,DATE
Total: $192.35,TOTAL
monthly #2897 $192.35,ITEM
Thank you for your purchase!,O
Receipt #: 29264,O
AT&T,STORE
Date: 2025-04-06,DATE
Total: $606.99,TOTAL
service $606.99,ITEM
Thank you for your purchase!,O
Receipt #: 50904,O
Nike,STORE
Date: 2025-04-18,DATE
Total: $178.59,TOTAL
clothes purchase shoes $178.59,ITEM
Thank you for your purchase!,O
Receipt #: 11741,O
Steam,STORE
Date: 2025-04-08,DATE
Total: $40.72,TOTAL
music entertainment #1483 $40.72,ITEM
Thank you for your purchase!,O
Receipt #: 46495,O
Trader Joes,STORE
Date: 2025-04-17,DATE
Total: $145.49,TOTAL
food meat bread $145.49,ITEM
Thank you for your purchase!,O
Receipt #: 70924,O
Miscellaneous,STORE
Date: 2025-03-29,DATE
Total: $977.61,TOTAL
service general other $977.61,ITEM
Thank you for your purchase!,O
Receipt #: 34261,O
Lyft,STORE
Date: 2025-04-08,DATE
Total: $76.37,TOTAL
taxi fuel $76.37,ITEM
Thank you for your purchase!,O
Receipt #: 75966,O
Metro,STORE
Date: 2025-04-18,DATE
Total: $13.83,TOTAL
ride transportation $13.83,ITEM
Thank you for your purchase!,O
Receipt #: 10454,O
H&M,STORE
Date: 2025-04-14,DATE
Total: $295.00,TOTAL
accessories electronics #8393 $295.00,ITEM
Thank you for your purchase!,O
Receipt #: 10606,O
Water Service,STORE
Date: 2025-04-09,DATE
Total: $931.04,TOTAL
payment utility #6449 $931.04,ITEM
Thank you for your purchase!,O
Receipt #: 20306,O
Verizon,STORE
Date: 2025-04-08,DATE
Total: $119.37,TOTAL
bill $119.37,ITEM
Thank you for your purchase!,O
Receipt #: 53338,O
Amazon,STORE
Date: 2025-04-07,DATE
Total: $243.13,TOTAL
shoes clothes purchase $243.13,ITEM
Thank you for your purchase!,O
Receipt #: 52766,O
Walmart,STORE
Date: 2025-04-03,DATE
Total: $77.06,TOTAL
bread #5203 $77.06,ITEM
Thank you for your purchase!,O
Receipt #: 50474,O
Amazon,STORE
Date: 2025-03-27,DATE
Total: $202.68,TOTAL
accessories purchase $202.68,ITEM
Thank you for your purchase!,O
Receipt #: 61265,O
Target,STORE
Date: 2025-03-26,DATE
Total: $258.76,TOTAL
shoes #3020 $258.76,ITEM
Thank you for your purchase!,O
Receipt #: 81149,O
AMC Theaters,STORE
Date: 2025-04-14,DATE
Total: $43.43,TOTAL
streaming #9234 $43.43,ITEM
Thank you for your purchase!,O
Receipt #: 53436,O
Spotify,STORE
Date: 2025-03-26,DATE
Total: $16.35,TOTAL
game movie streaming #8345 $16.35,ITEM
Thank you for your purchase!,O
Receipt #: 47667,O
Water Service,STORE
Date: 2025-04-06,DATE
Total: $190.29,TOTAL
payment monthly #1589 $190.29,ITEM
Thank you for your purchase!,O
Receipt #: 48122,O
Uber,STORE
Date: 2025-03-28,DATE
Total: $35.05,TOTAL
transit ride $35.05,ITEM
Thank you for your purchase!,O
Receipt #: 25960,O
AT&T,STORE
Date: 2025-03-31,DATE
Total: $657.04,TOTAL
bill monthly payment $657.04,ITEM
Thank you for your purchase!,O
Receipt #: 24520,O
Walgreens,STORE
Date: 2025-04-13,DATE
Total: $230.66,TOTAL
doctor medical $230.66,ITEM
Thank you for your purchase!,O
Receipt #: 36666,O
Spotify,STORE
Date: 2025-04-21,DATE
Total: $28.76,TOTAL
game #9542 $28.76,ITEM
Thank you for your purchase!,O
Receipt #: 55563,O
Netflix,STORE
Date: 2025-03-26,DATE
Total: $24.46,TOTAL
streaming music game #3822 $24.46,ITEM
Thank you for your purchase!,O
Receipt #: 82835,O
Walmart,STORE
Date: 2025-04-03,DATE
Total: $75.19,TOTAL
bread dairy $75.19,ITEM
Thank you for your purchase!,O
Receipt #: 45941,O
AT&T,STORE
Date: 2025-03-25,DATE
Total: $453.41,TOTAL
bill $453.41,ITEM
Thank you for your purchase!,O
Receipt #: 28387,O
Local Restaurant,STORE
Date: 2025-04-14,DATE
Total: $621.27,TOTAL
dinner takeout restaurant $621.27,ITEM
Thank you for your purchase!,O
Receipt #: 58699,O
Best Buy,STORE
Date: 2025-03-29,DATE
Total: $261.73,TOTAL
purchase accessories #1158 $261.73,ITEM
Thank you for your purchase!,O
Receipt #: 43011,O
Chipotle,STORE
Date: 2025-04-02,DATE
Total: $123.88,TOTAL
delivery restaurant lunch $123.88,ITEM
Thank you for your purchase!,O
Receipt #: 68292,O
Walgreens,STORE
Date: 2025-03-26,DATE
Total: $39.70,TOTAL
health prescription medical #9650 $39.70,ITEM
Thank you for your purchase!,O
Receipt #: 87253,O
Spotify,STORE
Date: 2025-04-07,DATE
Total: $15.56,TOTAL
game #2647 $15.56,ITEM
Thank you for your purchase!,O
Receipt #: 41163,O
BP,STORE
Date: 2025-04-04,DATE
Total: $16.57,TOTAL
transportation ride $16.57,ITEM
Thank you for your purchase!,O
Receipt #: 71326,O
Subway,STORE
Date: 2025-03-24,DATE
Total: $895.43,TOTAL
lunch meal restaurant $895.43,ITEM
Thank you for your purchase!,O
Receipt #: 76951,O
Unknown Vendor,STORE
Date: 2025-04-09,DATE
Total: $193.57,TOTAL
misc payment $193.57,ITEM
Thank you for your purchase!,O
Receipt #: 45323,O
Unknown Vendor,STORE
Date: 2025-03-24,DATE
Total: $694.34,TOTAL
general misc service #3576 $694.34,ITEM
Thank you for your purchase!,O
Receipt #: 81987,O
Steam,STORE
Date: 2025-04-19,DATE
Total: $40.64,TOTAL
game music #9703 $40.64,ITEM
Thank you for your purchase!,O
Receipt #: 40287,O
Local Restaurant,STORE
Date: 2025-03-24,DATE
Total: $911.95,TOTAL
restaurant dinner delivery #9279 $911.95,ITEM
Thank you for your purchase!,O
Receipt #: 16728,O
Amazon,STORE
Date: 2025-04-18,DATE
Total: $184.37,TOTAL
electronics $184.37,ITEM
Thank you for your purchase!,O
Receipt #: 99785,O
Nike,STORE
Date: 2025-04-07,DATE
Total: $274.99,TOTAL
